Fecha,Especie,Cantidad,Monto,Observaciones
2024-01-06,zapallo,2,5000,otro
2024-02-06,tomate,2,2000,nada
2024-02-06,albahaca,1,1500,todo
2024-02-06,perejil,2,1000,otr
2024-02-06,pimiento,3,3000,nada
2024-02-06,menta,5,5000,bien
2024-02-06,tomillo,2,4000,nada
2024-02-06,lechuga,1,2000,dasd
2024-02-06,repollo,2,1500,32e23e23
2024-02-06,tomate,5,12000,ok
2024-02-06,zapallo,3,8000,qwdqwdq
2024-02-06,remolacha,3,7500,ok
2024-02-09,zapallito,2,2000,hola
2024-02-09,frutilla,1,1000,ok
2024-02-09,perejil,3,5000,3
2024-02-09,tomillo,2,1500.0,nada
2024-02-09,menta,3,2100.0,ok
2024-02-15,remolacha,3,3000.0,ok
2024-02-15,lechuga,1,1000.0,ok
2024-02-17,remolacha,3,2500.0,ok
2024-02-17,cebolla,5,10000.0,pagado
